"row.names","date","mktrf","smb","hml","rf","year","month","umd","dateff"
"1",1926-07-01,0.0296,-0.023,-0.0287,0.0022,1926.0,7.0,,1926-07-31
"2",1926-08-01,0.0264,-0.014,0.0419,0.0025,1926.0,8.0,,1926-08-31
"3",1926-09-01,0.0036,-0.0132,0.0001,0.0023,1926.0,9.0,,1926-09-30
"4",1926-10-01,-0.0324,0.0004,0.0051,0.0032,1926.0,10.0,,1926-10-30
"5",1926-11-01,0.0253,-0.002,-0.0035,0.0031,1926.0,11.0,,1926-11-30
"6",1926-12-01,0.0262,-0.0004,-0.0002,0.0028,1926.0,12.0,,1926-12-31
"7",1927-01-01,-0.0006,-0.0056,0.0483,0.0025,1927.0,1.0,0.0044,1927-01-31
"8",1927-02-01,0.0418,-0.001,0.0317,0.0026,1927.0,2.0,-0.0132,1927-02-28
"9",1927-03-01,0.0013,-0.016,-0.0267,0.003,1927.0,3.0,0.0359,1927-03-31
"10",1927-04-01,0.0046,0.0043,0.006,0.0025,1927.0,4.0,0.0417,1927-04-30
"11",1927-05-01,0.0544,0.0141,0.0493,0.003,1927.0,5.0,0.0296,1927-05-31
"12",1927-06-01,-0.0234,0.0047,-0.0153,0.0026,1927.0,6.0,0.0053,1927-06-30
"13",1927-07-01,0.0726,-0.0323,-0.0116,0.003,1927.0,7.0,0.0429,1927-07-30
"14",1927-08-01,0.0197,-0.0072,-0.0369,0.0028,1927.0,8.0,0.0114,1927-08-31
"15",1927-09-01,0.0476,-0.0357,-0.0071,0.0021,1927.0,9.0,0.0189,1927-09-30
"16",1927-10-01,-0.0431,0.0213,-0.0433,0.0025,1927.0,10.0,-0.0108,1927-10-31
"17",1927-11-01,0.0658,0.0276,-0.0031,0.0021,1927.0,11.0,-0.0067,1927-11-30
"18",1927-12-01,0.0209,0.0093,-0.0106,0.0022,1927.0,12.0,0.0315,1927-12-31
"19",1928-01-01,-0.0068,0.0425,-0.0072,0.0025,1928.0,1.0,-0.006,1928-01-31
"20",1928-02-01,-0.017,-0.0203,-0.0069,0.0033,1928.0,2.0,-0.0109,1928-02-29
"21",1928-03-01,0.0881,-0.0026,-0.012,0.0029,1928.0,3.0,0.0487,1928-03-31
"22",1928-04-01,0.0423,0.0382,0.0367,0.0022,1928.0,4.0,-0.0565,1928-04-30
"23",1928-05-01,0.0152,0.0298,-0.0346,0.0032,1928.0,5.0,0.0285,1928-05-31
"24",1928-06-01,-0.0485,-0.035,-0.0006,0.0031,1928.0,6.0,0.0205,1928-06-30
"25",1928-07-01,0.0062,-0.0135,-0.0047,0.0032,1928.0,7.0,0.0282,1928-07-31
"26",1928-08-01,0.0668,-0.0207,-0.0211,0.0032,1928.0,8.0,0.0369,1928-08-31
